-----------------------------------
Unigrams and their probabilities:
way has probability 0.0002595640503790225
evidence has probability 0.0002595640503790225
school has probability 0.0002595640503790225
didn't has probability 0.0002595640503790225
money? has probability 0.0002595640503790225
long? has probability 0.0002595640503790225
previous has probability 0.0002595640503790225
states has probability 0.0002536648674158629
specifically has probability 0.0002536648674158629
economic has probability 0.0002536648674158629
countries? has probability 0.0002477656844527033
else has probability 0.0002477656844527033
up? has probability 0.0002477656844527033
talking has probability 0.0002477656844527033
way? has probability 0.0002477656844527033
fighting has probability 0.0002477656844527033
years? has probability 0.0002477656844527033
look has probability 0.0002418665014895437
food has probability 0.0002418665014895437
already has probability 0.0002418665014895437
done has probability 0.0002418665014895437
i has probability 0.0002418665014895437
bad has probability 0.0002418665014895437
rate has probability 0.0002359673185263841
then? has probability 0.0002359673185263841
exactly? has probability 0.0002359673185263841
government? has probability 0.0002359673185263841
stand has probability 0.00023006813556322448
trying has probability 0.00023006813556322448
involved has probability 0.00023006813556322448
current has probability 0.00023006813556322448
credentials? has probability 0.00023006813556322448
really has probability 0.00023006813556322448
same has probability 0.0002241689526000649
issue? has probability 0.0002241689526000649
industry has probability 0.0002241689526000649
particular has probability 0.0002241689526000649
ways has probability 0.0002241689526000649
down? has probability 0.0002241689526000649
report has probability 0.0002241689526000649
taken has probability 0.0002241689526000649
referring has probability 0.00021826976963690528
issues has probability 0.00021826976963690528
another has probability 0.00021826976963690528
information has probability 0.00021826976963690528
public has probability 0.00021826976963690528
end has probability 0.00021826976963690528
own has probability 0.00021826976963690528
looking has probability 0.00021826976963690528
interest has probability 0.00021826976963690528
average has probability 0.00021826976963690528
be? has probability 0.00021826976963690528
water has probability 0.00021826976963690528
specifically? has probability 0.0002123705866737457
top has probability 0.0002123705866737457
led has probability 0.0002123705866737457
pay has probability 0.0002123705866737457
three has probability 0.0002123705866737457
stop has probability 0.0002123705866737457
china has probability 0.0002123705866737457
role has probability 0.0002123705866737457
terms has probability 0.0002123705866737457
down has probability 0.0002123705866737457
officials has probability 0.0002123705866737457
